"Data Year","Data Year (cat)","Class Grade","Class Grade (cat)",State,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2015,y2015,12,G12,CA,Male,16,[16],Right-Handed,169,24,177,2,Car,10,1,52,Soccer,900,1000,999,1000,999,999,24,"Same length",80,90,"Ring finger",11.Nov,2.Spring,Yes,No,Soups,Water,English,9,4,,"Yes - other","In person",3,4,1,0,1,4,2,0,0,0,0,4,0,5,3.Some,6.Other,Other,Fly,Healthy,Relative,"International aid"
2016,y2016,12,G12,CA,Male,17,[17],Right-Handed,183,30,188,1,Car,7,0,36,Running/Jogging,500,750,750,750,900,900,29,"Right foot",79,78,"Index finger",05.May,1.Winter,Yes,No,Pizza/Pasta,"Powdered drink",Science,7,8,7,"Yes - broadband connection","Text messaging",50,50,5,15,10,20,8,5,1,30,1,5,0,2,3.Some,"5.Graduate degree",Pop,Fly,Happy,Relative,Religious
2015,y2015,12,G12,CA,Female,17,[17],Right-Handed,,,,2,Car,15,,,Basketball,1000,1000,1000,1000,1000,1000,10,"Left foot",,,"Ring finger",10.Oct,1.Winter,No,No,"Rice/Noodle dishes",Water,History,7,7,11,"No internet connection","Text messaging",100,100,4,15,2,4,10,19,20,17,10,10,0,5,"4.A lot","5.Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"International aid"
2011,y2011,12,G12,CA,Male,17,[17],Right-Handed,187.9,33,195.7,1,Car,6,0,58,Cycling,800,700,400,,500,700,33,"Same length",,,"Ring finger",04.Apr,1.Winter,No,No,Poultry,Water,"Physical education",8,9,4,"Yes - broadband connection","In person",6,11,6,1,8,5,10,8,20,2,20,15,7,4,1.None,,,,,,
2018,y2018,8,G08,CA,Female,12,[12],Right-Handed,156,23,141,2,Car,12,0,34,Other,829,567,904,920,70,59,22,"Right foot",69,57,"Index finger",07.Jul,3.Summer,No,No,Other,Water,English,8.5,10,4,"Yes - broadband connection","Text messaging",29,28,7,0.75,2,7,10,1,0,3.5,14,4,0,2,3.Some,6.Other,Pop,Telepathy,Happy,Other,"Education/Youth development"
2015,y2015,12,G12,CA,Male,17,[17],Right-Handed,190.5,29,200,1,Bus,30,0,48,None,1000,500,1000,600,600,600,29,"Right foot",70,80,"Ring finger",12.Dec,1.Winter,No,No,Salads,Coffee,History,6,6,4,"Yes - broadband connection","Text messaging",200,100,6,7,5,12,0,7,10,15,15,20,16,17,,"3.Some college",Pop,Telepathy,Healthy,Actor,Environment
2014,y2014,7,G07,CA,Female,12,[12],Right-Handed,147,23,147,3,Car,10,0,40,Soccer,1000,800,900,700,100,10,21,"Right foot",80,70,"Index finger",08.Aug,3.Summer,Yes,No,"No favorite",Water,"Physical education",9,12,4,"Yes - other","Text messaging",20,20,5,6,6,5,8,2,2,6,5,5,0,4,"4.A lot","5.Graduate degree","Rap/Hip hop",Fly,Happy,"Coach or club leader",Health
2016,y2016,11,G11,CA,Female,17,[17],Left-Handed,129.54,11,,2,Car,20,,11,Walking/Hiking,,11,,,,,11,"Left foot",70,80,"Ring finger",06.Jun,4.Fall,Yes,No,Fruit,Water,Art,7,5,6,"No internet connection","In person",298,40,3,4,4,10,1,0,8,18,4,2,12,0,3.Some,"5.Graduate degree","Rap/Hip hop",Telepathy,Healthy,Friend,Health
2016,y2016,12,G12,CA,Male,17,[17],Right-Handed,178,25,170,2,Bus,40,,,Basketball,1000,1000,1000,1000,800,1000,25,"Same length",85,85,"Same length",07.Jul,3.Summer,No,No,Meat,Water,Art,6,10,9,"Yes - broadband connection","Text messaging",25,20,10,2,12,6,0,10,10,10,10,3,5,5,"4.A lot","5.Graduate degree",Techno/Electronic,"Freeze time",,"Business person",Health
2011,y2011,12,G12,CA,Female,17,[17],Right-Handed,159,21,158,2,Car,10,0,43,Walking/Hiking,460,513,684,,797,706,22,"Left foot",82,85,"Index finger",05.May,3.Summer,Yes,No,Pizza/Pasta,Water,English,6,10,4,"Yes - broadband connection","In person",18,27,5,2,40,10,3,0,10,5,25,2,0,3,"4.A lot","5.Graduate degree",Other,"Freeze time",Happy,Relative,"International aid"
